ID,Nama_Obat,Indikasi,Dosis,Kontraindikasi,Efek_Samping,Interaksi
11,Custodiol,Custodiol merupakan obat pencahar yang digunakan untuk melancarkan susah buang air besar atau sembelit (konstipasi) selama berhari-hari.,Dewasa dan anak-anak diatas 12 tahun : 2-3x sehari 1 tablet Anak-anak 6-12 tahun : 1x sehari 1 tablet Anak-anak dibawah 6 tahun : konsultasi dokter atau dianjurkan untuk memakai suppositoria anak,"Obstruksi usus, kondisi abdomen yang memerlukan pembedahan akut, apendisitis, penyakit inflamasi usus besar akut, dehidrasi berat, hipersensitif terhadap triarilmetan, ileus.","Pusing, jarang berkemih, muntah dan diare yang tidak kunjung mereda, BAB berdarah, pingsan","Jangan menggunakan Custodiol Tablet Salut Enterik 5 Mg 10 Tablet jika Anda alergi terhadap obat ini. Konsultasikan dengan dokter terlebih dahulu jika Anda pernah atau sedang menderita penyakit usus buntu, dehidrasi, kolitis ulseratif, gangguan penyerapan gula, penyakit Crohn, sakit perut, kesulitan buang air besar yang berlangsung selama lebih dari 2 minggu, obstruksi usus, atau perdarahan dari dubur. Konsultasikan dengan dokter terlebih dahulu, jika Anda sedang menggunakan obat, suplemen, atau produk herbal tertentu, terutama jika sedang menggunakan obat pencahar lain, antasida, diuretik, kortikosteroid. Beri tahu dokter jika Anda sedang hamil, menyusui, atau sedang merencanakan kehamilan. Konsultasikan dengan dokter sebelum memberikan Custodiol Tablet Salut Enterik 5 Mg 10 Tablet kepada anak-anak. Jangan menggunakan Custodiol Tablet Salut Enterik 5 Mg 10 Tablet untuk menurunkan berat badan. Segera ke dokter jika terjadi reaksi alergi obat atau overdosis setelah mengonsumsi Custodiol Tablet Salut Enterik 5 Mg 10 Tablet."
12,Pamol,"Pamol digunakan untuk meredakan sakit kepala, sakit gigi, nyeri otot, menurunkan demam dan nyeri pasca vaksinasi.","Dewasa: 1 - 2 kaplet, 3 sampai 4 kali per hari. Penggunaan maximum 8 kaplet per hari. Anak (6 - 12 tahun): 1/2 - 1 kaplet, 3 sampai 4 kali per hari. Penggunaan maximum 4 kaplet per hari.",Penderita gangguan fungsi hati berat dan hipersensitif.,"Mual, muntah, diare, keringat berlebih, pucat, sakit perut","Penurunan penyerapan dan efektivitas paracetamol jika digunakan dengan cholestyramine, peningkatan risiko terjadinya efek samping paracetamol jika digunakan dengan metoclopramide dan domperidone, peningkatan risiko terjadinya kerusakan hati jika digunakan dengan phenobarbital, peningkatan risiko terjadinya efek samping jika digunakan dengan probenecid atau isoniazid, penurunan efektivitas lamotrigine, peningkatan risiko terjadinya efek samping chloramphenicol atau busulfan"
13,Paramex,Paramex digunakan untuk meringankan sakit kepala dan sakit gigi.,"Dewasa dan anak usia di atas 12 tahun: 1 tablet, 2–3 kali sehari.","Hipersensitif terhadap parasetamol, pasien dengan disfungsi hati dan ginjal.","Kantuk, gelisah, tremor, sulit tidur (insomnia), jantung berdebar, gangguan pencernaan, mulut kering, peningkatan tekanan darah","Peningkatan risiko terjadinya interaksi obat jika Paramex atau Paramex SK digunakan dengan quinolone, theophylline, duloxetine, rasagiline, atau tizanidine, peningkatan risiko terjadinya krisis hipertensi jika Paramex Flu & Batuk atau Paramex Flu & Batuk PE digunakan bersama obat antidepresan jenis monoamine oxidase inhibitors (MAOIs), peningkatan risiko terjadinya memar atau perdarahan jika Paramex Nyeri Otot digunakan dengan obat antiplatelet atau obat antikoagulan, seperti aspirin atau warfarin, serta obat antiinflamasi non-steroid lainnya, seperti celecoxib atau diclofenac, peningkatan risiko terjadinya kerusakan ginjal jika Paramex Nyeri Otot digunakan bersama ciclosporin atau tacrolimus"
14,Vermint,Vermint digunakan untuk membantu meredakan demam,"Dewasa : 2 kapsul, 3 kali per hari Anak-anak : 1 kapsul, 3 kali per hari.",Jangan menggunakan Vermint jika Anda alergi terhadap obat ini.,"Sakit kepala, pusing, konstipasi, diare",Belum didapatkan informasi terkait interaksi vermint dengan obat lainnya. Namun sebaiknya informasikan pada dokter mengenai riwayat obat yang telah dikonsumsi sebelum menggunakan obat batuk ibu dan anak
15,Oskadon,"Oskadon digunakan untuk mengurangi sakit kepala, pusing, menghilangkan segala macam rasa nyeri, dan menghilangkan demam.","Dewasa dan anak-anak usia di atas 12 tahun : 1 tablet, 3–4 kali sehari.
Anak-anak usia 6–12 tahun : ½ tablet, 3–4 kali sehari.","Penderita dengan riwayat penyakit ginjal atau gangguan fungsi hati, wanita hamil dan menyusui, gangguan fungsi hati berat","Mual, muntah, nyeri lambung atau rasa panas di ulu hati, diare, konstipasi","Peningkatan risiko terjadinya kerusakan hati jika digunakan bersama isoniazid, peningkatan risiko terjadinya perdarahan jika digunakan bersama obat antikoagulan, seperti warfarin, atau antidepresan golongan SSRI, peningkatan risiko terjadinya efek samping yang fatal jika digunakan bersama sodium fusidat, penurunan efektivitas obat aspirin dalam mencegah stroke atau serangan jantung, penurunan efektivitas obat antihipertensi, seperti candesartan, nifedipine, dan captopril, penurunan efektivitas Oskadon jika digunakan dengan cholestyramine, rifampicin, phenytoin, phenobarbital, carbamazepin, atau primidone, peningkatan risiko terjadinya efek samping jika digunakan dengan probenesid, peningkatan risiko terjadinya efek samping dari chloramphenicol"
16,Diatabs,"Diatabs digunakan untuk pengobatan simtomatik pada diare non-spesifik, yaitu diare yang tidak diketahui penyebabnya dengan jelas.","Dewasa dan anak-anak (12 tahun atau lebih) : 2 tablet setiap setelah buang air besar, maksimum penggunaan 12 tablet dalam waktu 24 jam. Anak-anak (6-12 tahun) : 1 tablet setiap setelah buang air besar, maksimum penggunaan 6 tablet dalam waktu 24 jam. Jika gejala-gejala masih berlangsung terus, harap berkonsultasi dengan dokter.",Diatabs tidak boleh diberikan pada pasien dimana konstipasi harus dihindari. Hipersensitif terhadap activated attapulgit.,"Mual, perut kembung, kentut, sakit perut","Penurunan efektivitas obat antivirus, salah satunya obat dolutegravir dalam mengatasi infeksi HIV, penurunan efektivitas digoxin untuk mengatasi aritmia, peningkatan risiko terjadinya efek antikolinergik, seperti mulut kering, konstipasi, pandangan buram, dan kantuk, jika digunakan bersama obat antidepresan, antiparkinson, antihistamin, atau antipsikotik, penurunan efektivitas obat perangsang muntah pada keracunan, penurunan penyerapan dan efektivitas trihexyphenidyl, peningkatan risiko terjadinya sembelit jika digunakan bersama loperamide"
17,Opilax Sirup,Opilax Sirup digunakan untuk mengatasi masalah konstipasi kronis atau sembelit.,"Untuk konstipasi kronis: Dewasa : - Keadaan parah; dosis awal 30ml selama 3 hari pertama; dosis pemelihara 15-25 ml sehari - Keadaan sedang; dosis awal 15-30 ml selama 3 hari pertama; dosis pemelihara 15-25 ml - Keadaan ringan ; osis awal 15 ml selama 3 hari pertama ; dosis pemilihara 10 ml Ensefalopati hepatik Dosis awal : 3 kali sehari 30-50 ml Dosis pemelihara : disesuaikan dengan kebutuhan spenderita, harus dicegah terjadinya diare.",Pasien yang membutuhkan diet rendah galaktosa dan pasien dengan obstruksi usus,"Diare jika dikonsumsi berlebihan, kembung, mual atau muntah","Peningkatan risiko terjadinya efek samping yang parah jika digunakan dengan obat pencahar lainnya, seperti gliserol, peningkatan efek obat glikosida jantung, peningkatan risiko berkurangnya kadar kalium di dalam darah jika dikonsumsi dengan thiazide, kortikosteroid, atau amphotericin B, penurunan efek terapeutik laktulosa jika digunakan dengan glutamin, penurunan efektivitas laktulosa jika digunakan dengan obat maag yang mengandung aluminium hidroksida dan magnesium hidroksida, serta antibiotik, seperti neomycin"
18,Xepazym,"Xepazym digunakan untuk 
melengkapi pengobatan pada gangguan pencernaan seperti perut kembung pada gangguan proses produksi enzim pankreas (insufisiensi pankreas), pada gangguan hati, kelenjar empedu, lambung, dan usus, flatulensi, setelah operasi dan digunakan juga pada persiapan untuk radiografi dari abdomen (diagnostik saluran empedu dan ginjal).",Dosis umum : 1-2 kaplet per hari Untuk persiapan pemeriksaan rontgen : 3-4x sehari 2 kaplet selama 2 hari sebelum pemeriksaan dan 2 kaplet pada perut kosong pagi-pagi pada hari pemeriksaan.,Hipersensitivitas terhadap kandungan obat.,"Nyeri perut, mual, diare","Terganggunya penyerapan dan efektivitas suplemen asam folat, suplemen zat besi, atau obat-obatan untuk penyakit tiroid, seperti levothyroxine, liothyronine, atau liotrix, penurunan efektivitas acarbose, penurunan efektivitas pankreatin jika digunakan bersama antasida yang mengandung aluminium hidroksida atau magnesium hidroksida"
19,Mylanta,"Mylanta digunakan untuk 
mengurangi gejala-gejala yang berhubungan dengan kelebihan, gastritis, tukak lambung, tukak usus 12 jari dengan gejala seperti mual, nyeri lambung dan nyeri ulu hati.","Dewasa : 1-2 tablet, diberikan 3-4 kali sehari. Anak-anak 6-12 tahun : 0.5-1 tablet, diberikan 1-2 kali sehari.","Jangan diberikan pada penderita gangguan fungsi ginjal yang berat, karena dapat menimbulkan hipermagnesia (kelebihan magnesium dalam darah). Tidak boleh digunakan pada pasien yang hipersensitif terhadap aluminium hidroksida, magnesium hidroksida, simetikon atau komponen lain dalam formulasi obat ini.","Mual atau muntah, perut kembung atau bersendawa, sembelit atau malah diare, sakit kepala, sensasi terbakar di mulut atau tenggorokan, perubahan sensasi rasa di mulut (dysgeusia)","Kandungan aluminium, magnesium, atau simethicone, di dalam Mylanta jenis ini, dapat menurunkan penyerapan dan efektivitas obat-obatan seperti cabotegravir, dolutegravir, antibiotik golongan tetracycline, cimetidine, digoxin, levothyroxine, isoniazid"
20,Combantrin,"Combantrin digunakan untuk mengatasi infeksi cacing kremi (enterobius vermicularis), cacing gelang (ascaris lumbricoides), cacing tambang (ancylostoma duodenale), cacing tambang (necator americanus), cacing trichostrongylus colubriformis dan trichostrongylus orientalis.","Anak usia 2-6 tahun: 0.5-1 tablet, diberikan sekali. Anak usia 6-12 tahun : 1-1.5 tablet, diberikan sekali. Di atas usia 12 tahun : 1.5-2 tablet, diberikan sekali.",Penderita hipersensitif,"Mual, muntah, diare, sakit kepala, pusing, hilang nafsu makan, kantuk, kemerahan atau gatal di kulit, biduran, berkeringat atau keringat dingin",Penurunan efek pirantel pamoat dan piperazine jika keduanya digunakan secara bersamaan serta peningkatan risiko terjadinya efek samping teofilin jika keduanya digunakan secara bersamaan
21,Betadine,Betadine merupakan cairan antiseptik pada luka untuk membunuh kuman penyebab infeksi,Oleskan ke kulit sesuai kebutuhan,Hipersensitivitas terhadap iodine,"Gatal, ruam, bengkak pada kulit, nyeri pada vagina, iritasi pada kulit, mulut, atau bagian tubuh yang terkena Betadine","Mengingat Betadine mengandung povidone iodine, risiko terjadinya gangguan tiroid bisa meningkat jika obat ini digunakan bersamaan dengan obat lain yang mengandung lithium."
22,Alerhis,"Alerhis digunakan untuk 
mengatasi gejala rinitis alergik seperti bersin-bersin, pilek dan rasa gatal pada hidung, rasa gatal dan terbakar pada mata serta untuk mengurangi gejala dan tanda-tanda urtikaria kronis serta penyakit dermatologis alergi lainnya.",Dewasa dan anak di atas 12 tahun : 1 kali sehari 1 kaplet Anak usia 6-12 tahun: BB di atas 30 kg = 1 kali sehari 1 kaplet BB kurang dari 30 kg = 1 kali sehari 1/2 kaplet,Hipersensitif terhadap komponen dalam produk.,"Kantuk atau kelelahan, gugup, mata, mulut, dan tenggorokan terasa kering, sakit perut atau diare, sakit kepala","Kandungan loratadine dalam Alerhis Tablet dapat menimbulkan interaksi berupa peningkatan kadar dan efektivitas Alerhis Tablet jika digunakan bersama ketoconazole, fluconazole, erythromycin, clarithromycin, atau cimetidine"
23,Alermax,"Alermax digunakan untuk mengobati rinitis alergika, manifestasi alergi kulit seperti urtikaria (biduran/kaligata) & angioedema, urtikaria karena dingin.",Anak-anak 2-6 tahun : 1/4 kaplet 3-4 kali sehari. Anak-anak : 1/2 kaplet 3-4 kali sehari. Dewasa : 1 kaplet 3-4 kali sehari,"Hipersensitif pada kandungan Alermax, kelainan darah porfiria, asma akut, anak di bawah 1 tahun, bayi prematur","Mengantuk, sakit kepala, gangguan psikomotor, pandangan kabur, gangguan saluran cerna seperti mual, muntah, mulut kering, diare, hipotensi, stimulasi sistem saraf pusat","Pemberian bersama MAO inhibitor, antidepresan trisiklik, serta antikolinergik lain seperti atropin dapat meningkatkan risiko efek antimuskarinik, seperti retensi urine, mulut kering, pandangan kabur, mempengaruhi sistem kardiovaskular, sistem saraf pusat serta kelainan darah, penggunaan bersama barbiturate atau depresan sistem saraf pusat akan memperkuat efek sedatif, meningkatkan konsentrasi obat dalam darah apabila diberikan bersama cimetidine, meningkatkan risiko ototoksik atau gangguan telinga apabila diberikan bersama aminoglikosid"
24,Vital Ear Drops,Vital Ear Drops digunakan untuk antiseptik rongga telinga,2 tetes 3 kali sehari,"Hipersensitif terhadap bahan aktif yang terkandung, dan perforasi gendang telinga",Rasa terbakar atau tersengat beberapa saat setelah obat dituangkan ke dalam telinga,"Belum diketahui apakah kandungan zat aktif dalam Vital Ear Oil bisa menimbulkan interaksi obat jika digunakan dengan obat-obatan lain atau tidak. Untuk mengantisipasi hal ini, berikan jeda waktu yang cukup sebelum menggunakan obat tetes telinga jenis lain"
25,Sterimar blocked nose hypertonic,"Sterimar blocked nose hypertonic digunakan untuk
melegakan hidung tersumbat karena pilek atau sinusitis. Membersihkan area hidung sehingga dapat membantu pencegahan infeksi flu",2-6 semprotan di lubang hidung yang tersumbat,Jangan menggunakan Vital Ear Oil jika Anda alergi terhadap obat ini,"Rasa perih di hidung, bersin-bersin, rasa penuh di telinga.",Belum diketahui apakah kandungan dalam Sterimar blocked nose hypertonic bisa menimbulkan interaksi obat jika digunakan dengan obat-obatan lain atau tidak
26,Benzolac,Untuk pengobatan jerawat (Acne Vulgaris),Oleskan gel 1-2x sehari pada jerawat,"Hipersensitif, hamil, menyusui, anak di bawah 12 tahun","Kulit kering atau mengelupas, kemerahan atau gatal pada kulit, sensasi panas di kulit","Kandungan benzoyl peroxide dalam Benzolac dapat menurunkan efektivitas tretinoin, isotretinoin, atau tazarotene. Obat ini juga bisa menyebabkan kulit dan rambut wajah berubah warna menjadi kekuningan jika digunakan dengan produk yang mengandung sulfonamida atau sulfone"
27,Astria,Astria digunakan untuk memelihara kesehatan,1 kali sehari 1 kapsul,"Jangan menggunakan Astria 4 mg jika Anda alergi terhadap astaxanthin, canthaxantin, atau obat jenis 5-alpha-reductase inhibitor, seperti finasteride.
Astaxantine bisa dihasilkan oleh beberapa jenis alga dan beberapa jenis makanan laut, seperti salmon atau lobster. Jangan mengkonsumsi Astria 4 mg jika Anda alergi jenis alga atau makanan laut tersebut","Sering buang air besar
Perubahan warna tinja menjadi merah","Belum diketahui efek interaksi yang bisa terjadi jika Astria 4 mg digunakan bersama dengan obat-obatan lain. Namun, konsultasikan dengan dokter terkait penggunaan Astria 4 mg atau produk yang mengandung astaxanthin jika Anda sedang mengkonsumsi obat golongan 5-alpha-reductase inhibitor atau obat, produk herbal, atau suplemen, yang memiliki efek untuk menurunkan tekanan darah."
28,Callusol,"Callusol digunakan untuk menghilangkan mata ikan, kulit yang mengeras, kutil dan kalus (kapalan).","Oleskan Callusol ke bagian kulit yang terdampak sebanyak 1–2 kali sehari, hingga kutil, mata ikan, atau kapalan, terlepas.",Hipersensitivitas,"Kemerahan yang meluas pada kulit di sekitar area yang diobati, tanda infeksi seperti nanah berwarna hijau atau putih susu, muncul luka cekung pada area yang diobati","Meningkatnya penyerapan obat oles lain yang dioleskan ke area yang sama, meningkatkan risiko terjadinya iritasi dan kulit kering jika digunakan dengan obat jerawat, seperti adapalene atau tretinoin topikal, menurunnya efektivitas calcipotriol pada pengobatan psoriasis"
29,Zambuk,"Zambuk digunakan untuk meredakan rasa nyeri, dan gatal-gatal yang berkaitan dengan luka ringan, gatal akibat gigitan serangga dan nyamuk, serta membantu meredakan memar dan terkilir ringan","Oleskan dengan lembut pada tempat yang terkena. Bila perlu, tutup dengan kasa steril",Seseorang dengan kulit sensitif,Kemungkinan terjadi reaksi alergi terhadap bahan obat ini,Belum ada laporan tentang interaksi zambuk dengan obat lain
30,Sp Troches,"Sp Troches digunakan untuk mengatasi peradangan pada tenggorokan atau rongga mulut akibat infeksi ringan, seperti faringitis dan sariawan","6x sehari 1 tablet, tidak lebih dari 8 tablet sehari",Hipersensitif,"Iritasi, rasa panas atau nyeri, kesemutan, atau mati rasa di lidah.",Belum diketahui secara pasti interaksi antar obat yang bisa terjadi jika SP Troches digunakan bersama dengan obat-obat lain
31,Sangobion,Sangobion digunakan untuk mengatasi anemia,"1 Kapsul, diminum 1 kali per hari","Hemokromatosis primer, penderita yang mendapat transfusi darah berulang, tukak lambung aktif","Sembelit atau diare, mual atau muntah, kram perut atau sakit maag, hilang selera makan, feses berwarna hijau, noda pada gigi","Penurunan penyerapan dari obat golongan bifosfonat, obat golongan quinolone, obat golongan tetracycline, pantoprazole, levothyroxine, atau levodopa, penurunan efektivitas zat besi jika digunakan bersama antasida"
32,Cal-95,Cal-95 merupakan suplemen yang digunakan untuk membantu memelihara kesehatan tulang,"1 kaplet salut selaput, diberikan 1-2 kali sehari","Hipersensitivitas, penderita gangguan ginjal","Sendawa, kembung, atau sembelit.","Penurunan efektivitas bisphosphonates, antibiotik golongan quinolone, tetracycline, levothyroxine, phenytoin, serta tiludronate disodium. Peningkatan risiko hiperkalsemia dan hiperkalsiuria jika digunakan bersama diuretik golongan thiazide. Penurunan efektivitas suplemen kalsium jika digunakan bersama obat antasida. Penurunan penyerapan kalsium oleh tubuh jika digunakan bersama obat pencahar. Peningkatan risiko terjadinya aritmia (detak jantung tidak teratur) jika digunakan bersama digoxin."
33,Zinc plus,"Zinc plus digunakan untuk membantu memenuhi kebutuhan mineral seperti Zinc, Tembaga, dan Vitamin C.",1 kapsul per hari atau sesuai anjuran dokter,"Sensitivitas, Defisiensi tembaga","Konsumsi Zinc yang berlebihan dapat menyebabkan ataksia, lemah lesu, dan defisiensi tembaga.","Penurunan absorpsi ceftibuten, cephalexin, deferiprone, penicillamine, ciprofloxacin, dan tetrasiklin"
